name2	name	name	avHet	chrom	chromStart	txStart	txEnd
DNAH1	NM_015512	rs10933	0.491732	chr3	52719815	52350334	52434513
POC1A	NM_001161580	rs10933	0.491732	chr3	52719815	52109248	52188706
POC1A	NM_001161581	rs10933	0.491732	chr3	52719815	52109248	52188706
POC1A	NM_015426	rs10933	0.491732	chr3	52719815	52109248	52188706
WDR82	NM_025222	rs10933	0.491732	chr3	52719815	52288449	52312665
NT5DC2	NM_022908	rs10933	0.491732	chr3	52719815	52558384	52569093
NT5DC2	NM_001134231	rs10933	0.491732	chr3	52719815	52558402	52567873
PBRM1	NM_001350074	rs10933	0.491732	chr3	52719815	52579367	52719575
PBRM1	NM_001350077	rs10933	0.491732	chr3	52719815	52579367	52719575
PBRM1	NM_001350075	rs10933	0.491732	chr3	52719815	52579367	52719866
PBRM1	NM_001350076	rs10933	0.491732	chr3	52719815	52579367	52719866
PBRM1	NM_001350078	rs10933	0.491732	chr3	52719815	52579367	52719866
PBRM1	NM_001350079	rs10933	0.491732	chr3	52719815	52579367	52719866
PBRM1	NM_018313	rs10933	0.491732	chr3	52719815	52579367	52719866
PBRM1	NM_001366070	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001366071	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001366072	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001366073	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001366074	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001366075	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001366076	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_181042	rs10933	0.491732	chr3	52719815	52579404	52719796
ITIH1	NM_002215	rs10933	0.491732	chr3	52719815	52811614	52826078
ITIH1	NM_001166434	rs10933	0.491732	chr3	52719815	52812508	52826084
ITIH1	NM_001166435	rs10933	0.491732	chr3	52719815	52813936	52826084
ITIH1	NM_001166436	rs10933	0.491732	chr3	52719815	52813941	52826084
SFMBT1	NM_016329	rs10933	0.491732	chr3	52719815	52937588	53080089
PRKCD	NM_001354679	rs10933	0.491732	chr3	52719815	53195222	53226733
PRKCD	NM_001354680	rs10933	0.491732	chr3	52719815	53195222	53226733
PRKCD	NM_212539	rs10933	0.491732	chr3	52719815	53195222	53226733
PRKCD	NM_006254	rs10933	0.491732	chr3	52719815	53195224	53226733
PRKCD	NM_001316327	rs10933	0.491732	chr3	52719815	53195536	53226733
PRKCD	NM_001354676	rs10933	0.491732	chr3	52719815	53202681	53226733
PRKCD	NM_001354678	rs10933	0.491732	chr3	52719815	53202681	53226733
DCP1A	NM_001290204	rs10933	0.491732	chr3	52719815	53317444	53381654
DCP1A	NM_001290205	rs10933	0.491732	chr3	52719815	53317444	53381654
DCP1A	NM_001290206	rs10933	0.491732	chr3	52719815	53317444	53381654
DCP1A	NM_001290207	rs10933	0.491732	chr3	52719815	53317444	53381654
DCP1A	NM_018403	rs10933	0.491732	chr3	52719815	53317448	53381570
CACNA1D	NM_001128840	rs10933	0.491732	chr3	52719815	53528637	53847757
CACNA1D	NM_000720	rs10933	0.491732	chr3	52719815	53529075	53846492
CACNA1D	NM_001128839	rs10933	0.491732	chr3	52719815	53529075	53846492
TEX264	NM_001129884	rs10933	0.491732	chr3	52719815	51705190	51738339
TEX264	NM_001243727	rs10933	0.491732	chr3	52719815	51705190	51738339
TEX264	NM_001278195	rs10933	0.491732	chr3	52719815	51705190	51738339
TEX264	NM_015926	rs10933	0.491732	chr3	52719815	51705190	51738339
