name2	name	name	avHet	chrom	chromStart	txStart	txEnd
PBRM1	NM_001366072	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001350078	rs10933	0.491732	chr3	52719815	52579367	52719866
PBRM1	NM_001350076	rs10933	0.491732	chr3	52719815	52579367	52719866
PBRM1	NM_001350075	rs10933	0.491732	chr3	52719815	52579367	52719866
ITIH1	NM_001166436	rs10933	0.491732	chr3	52719815	52813941	52826084
PBRM1	NM_001366076	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_018313	rs10933	0.491732	chr3	52719815	52579367	52719866
ITIH1	NM_001166434	rs10933	0.491732	chr3	52719815	52812508	52826084
PBRM1	NM_001350077	rs10933	0.491732	chr3	52719815	52579367	52719575
NT5DC2	NM_022908	rs10933	0.491732	chr3	52719815	52558384	52569093
NT5DC2	NM_001134231	rs10933	0.491732	chr3	52719815	52558402	52567873
PBRM1	NM_001350074	rs10933	0.491732	chr3	52719815	52579367	52719575
PBRM1	NM_001366075	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001366074	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001350079	rs10933	0.491732	chr3	52719815	52579367	52719866
PBRM1	NM_001366071	rs10933	0.491732	chr3	52719815	52579367	52719929
PBRM1	NM_001366073	rs10933	0.491732	chr3	52719815	52579367	52719929
ITIH1	NM_002215	rs10933	0.491732	chr3	52719815	52811601	52826084
PBRM1	NM_181042	rs10933	0.491732	chr3	52719815	52579404	52719796
PBRM1	NM_001366070	rs10933	0.491732	chr3	52719815	52579367	52719929
ITIH1	NM_001166435	rs10933	0.491732	chr3	52719815	52813936	52826084
STAB1	NM_015136	rs10933	0.491732	chr3	52719815	52529353	52558511
NISCH	NM_007184	rs10933	0.491732	chr3	52719815	52489523	52527088
SMIM4	NM_001124767	rs10933	0.491732	chr3	52719815	52570620	52574586
GLT8D1	NM_001278281	rs10933	0.491732	chr3	52719815	52728499	52740099
GLT8D1	NM_001278280	rs10933	0.491732	chr3	52719815	52728499	52740099
GLT8D1	NM_152932	rs10933	0.491732	chr3	52719815	52728499	52737714
NEK4	NM_001348414	rs10933	0.491732	chr3	52719815	52742464	52804965
NEK4	NM_001348413	rs10933	0.491732	chr3	52719815	52771513	52804965
NEK4	NM_001348412	rs10933	0.491732	chr3	52719815	52742464	52804965
SNORD19C	NR_145744	rs10933	0.491732	chr3	52719815	52725393	52725460
SNORD136	NR_132757	rs10933	0.491732	chr3	52719815	52722902	52723049
NEK4	NM_003157	rs10933	0.491732	chr3	52719815	52742464	52804965
GNL3	NM_014366	rs10933	0.491732	chr3	52719815	52719935	52728510
NEK4	NM_001193533	rs10933	0.491732	chr3	52719815	52742464	52804965
GLT8D1	NM_018446	rs10933	0.491732	chr3	52719815	52728499	52740099
GLT8D1	NM_001010983	rs10933	0.491732	chr3	52719815	52728499	52740099
SNORD19B	NR_003687	rs10933	0.491732	chr3	52719815	52724753	52724846
SNORD69	NR_003057	rs10933	0.491732	chr3	52719815	52726751	52726828
SNORD19	NR_003047	rs10933	0.491732	chr3	52719815	52723255	52723331
GNL3	NM_206826	rs10933	0.491732	chr3	52719815	52719935	52728510
GNL3	NM_206825	rs10933	0.491732	chr3	52719815	52719935	52728510
SPCS1	NM_014041	rs10933	0.491732	chr3	52719815	52740121	52742197
TMEM110-MUSTN1	NM_001198974	rs10933	0.491732	chr3	52719815	52867130	52931597
ITIH4-AS1	NR_046615	rs10933	0.491732	chr3	52719815	52857950	52859330
ITIH4	NM_001166449	rs10933	0.491732	chr3	52719815	52847005	52864717
ITIH3	NM_002217	rs10933	0.491732	chr3	52719815	52828783	52843025
MIR8064	NR_107031	rs10933	0.491732	chr3	52719815	52880478	52880568
ITIH4	NM_002218	rs10933	0.491732	chr3	52719815	52847005	52864717
MUSTN1	NM_205853	rs10933	0.491732	chr3	52719815	52867130	52869235
STIMATE	NM_198563	rs10933	0.491732	chr3	52719815	52870771	52931597
ZNF592	NM_014630	rs11633075	0.258288	chr15	85113971	85291822	85349676
WDR73	NR_130945	rs11633075	0.258288	chr15	85113971	85184725	85197574
WDR73	NR_130944	rs11633075	0.258288	chr15	85113971	85184725	85197477
WDR73	NR_130946	rs11633075	0.258288	chr15	85113971	85184725	85197574
WDR73	NR_130947	rs11633075	0.258288	chr15	85113971	85184725	85197574
WDR73	NM_032856	rs11633075	0.258288	chr15	85113971	85184725	85197574
GOLGA6L4	NM_001267536	rs11633075	0.258288	chr15	85113971	84904524	84914120
GOLGA6L5P	NR_003246	rs11633075	0.258288	chr15	85113971	85049398	85060078
DNM1P41	NR_033787	rs11633075	0.258288	chr15	85113971	85045805	85050249
LOC102724034	NR_120378	rs11633075	0.258288	chr15	85113971	84977315	84978856
LOC103171574	NR_120379	rs11633075	0.258288	chr15	85113971	84977216	84980581
ZSCAN2	NM_181877	rs11633075	0.258288	chr15	85113971	85144248	85166947
ZSCAN2	NM_017894	rs11633075	0.258288	chr15	85113971	85144248	85150116
LINC00933	NR_038273	rs11633075	0.258288	chr15	85113971	85114364	85123412
LINC00933	NR_038274	rs11633075	0.258288	chr15	85113971	85113879	85123412
ZSCAN2	NM_001007072	rs11633075	0.258288	chr15	85113971	85144248	85159841
SCAND2P	NR_004859	rs11633075	0.258288	chr15	85113971	85174690	85185694
SCAND2P	NR_003654	rs11633075	0.258288	chr15	85113971	85174690	85185694
UBE2Q2P1	NR_003661	rs11633075	0.258288	chr15	85113971	85070426	85114026
SEC11A	NM_001271921	rs11633075	0.258288	chr15	85113971	85212767	85259691
NMB	NM_205858	rs11633075	0.258288	chr15	85113971	85198359	85201802
NMB	NM_021077	rs11633075	0.258288	chr15	85113971	85198359	85201802
SEC11A	NR_073518	rs11633075	0.258288	chr15	85113971	85212767	85259691
SEC11A	NM_014300	rs11633075	0.258288	chr15	85113971	85212767	85259691
SEC11A	NM_001271920	rs11633075	0.258288	chr15	85113971	85212767	85259691
SEC11A	NM_001271919	rs11633075	0.258288	chr15	85113971	85212767	85259691
SEC11A	NM_001271918	rs11633075	0.258288	chr15	85113971	85212767	85259691
SEC11A	NM_001271922	rs11633075	0.258288	chr15	85113971	85212767	85259691
DPYD	NM_001160301	rs1198588	0.323908	chr1	98552831	98185313	98386615
DPYD	NM_000110	rs1198588	0.323908	chr1	98552831	97543299	98386615
LINC01776	NR_046088	rs1198588	0.323908	chr1	98552831	98676266	98738214
LINC01930	NR_146275	rs1198588	0.323908	chr1	98552831	98399029	98407296
MIR137HG	NR_046105	rs1198588	0.323908	chr1	98552831	98453555	98515249
MIR2682	NR_039604	rs1198588	0.323908	chr1	98552831	98510798	98510907
MIR137	NR_029679	rs1198588	0.323908	chr1	98552831	98511625	98511727
INO80E	NR_130786	rs12716973	0.471388	chr16	29937651	30007529	30017111
INO80E	NR_130787	rs12716973	0.471388	chr16	29937651	30007529	30017111
INO80E	NR_134855	rs12716973	0.471388	chr16	29937651	30007529	30017115
INO80E	NM_173618	rs12716973	0.471388	chr16	29937651	30007529	30017111
SEZ6L2	NM_012410	rs12716973	0.471388	chr16	29937651	29882479	29910585
SEZ6L2	NM_001114099	rs12716973	0.471388	chr16	29937651	29882479	29910585
INO80E	NM_001304563	rs12716973	0.471388	chr16	29937651	30007529	30017111
SEZ6L2	NM_001243332	rs12716973	0.471388	chr16	29937651	29882479	29910585
SEZ6L2	NM_001114100	rs12716973	0.471388	chr16	29937651	29882479	29910585
SEZ6L2	NM_001243333	rs12716973	0.471388	chr16	29937651	29882479	29910585
INO80E	NM_001304562	rs12716973	0.471388	chr16	29937651	30007529	30017111
SEZ6L2	NM_201575	rs12716973	0.471388	chr16	29937651	29882479	29910585
MAZ	NR_074080	rs12716973	0.471388	chr16	29937651	29817857	29822504
C16orf54	NM_175900	rs12716973	0.471388	chr16	29937651	29753785	29757340
PAGR1	NM_024516	rs12716973	0.471388	chr16	29937651	29827472	29833810
KIF22	NM_001256270	rs12716973	0.471388	chr16	29937651	29802288	29816706
KIF22	NM_001256269	rs12716973	0.471388	chr16	29937651	29802033	29816706
MAZ	NM_001276276	rs12716973	0.471388	chr16	29937651	29817857	29822504
MAZ	NM_001276275	rs12716973	0.471388	chr16	29937651	29817416	29822504
MAZ	NM_001042539	rs12716973	0.471388	chr16	29937651	29817857	29822504
PRRT2	NM_145239	rs12716973	0.471388	chr16	29937651	29823408	29827202
CDIPT	NM_001286586	rs12716973	0.471388	chr16	29937651	29869676	29874609
CDIPT	NM_001286585	rs12716973	0.471388	chr16	29937651	29869676	29874609
MVP	NM_005115	rs12716973	0.471388	chr16	29937651	29831714	29859360
MVP	NM_001293205	rs12716973	0.471388	chr16	29937651	29841835	29859360
CDIPT	NM_006319	rs12716973	0.471388	chr16	29937651	29869676	29874609
ZG16	NM_152338	rs12716973	0.471388	chr16	29937651	29789560	29792969
MVP	NM_017458	rs12716973	0.471388	chr16	29937651	29831714	29859360
KIF22	NM_007317	rs12716973	0.471388	chr16	29937651	29802033	29816706
MVP	NM_001293204	rs12716973	0.471388	chr16	29937651	29841835	29859360
CDIPTOSP	NR_024370	rs12716973	0.471388	chr16	29937651	29875003	29879374
CDIPTOSP	NR_015396	rs12716973	0.471388	chr16	29937651	29875154	29879374
PRRT2	NM_001256443	rs12716973	0.471388	chr16	29937651	29823408	29827202
PRRT2	NM_001256442	rs12716973	0.471388	chr16	29937651	29823408	29827202
MAZ	NM_002383	rs12716973	0.471388	chr16	29937651	29817857	29822504
KCTD13	NR_110933	rs12716973	0.471388	chr16	29937651	29917656	29937553
HIRIP3	NM_001197323	rs12716973	0.471388	chr16	29937651	30003641	30007417
TAOK2	NM_016151	rs12716973	0.471388	chr16	29937651	29985187	29999726
TMEM219	NM_001083613	rs12716973	0.471388	chr16	29937651	29973350	29984373
HIRIP3	NM_003609	rs12716973	0.471388	chr16	29937651	30003641	30007417
ASPHD1	NM_181718	rs12716973	0.471388	chr16	29937651	29911808	29917377
KCTD13	NM_178863	rs12716973	0.471388	chr16	29937651	29917660	29937547
TAOK2	NM_004783	rs12716973	0.471388	chr16	29937651	29985187	30003582
TAOK2	NM_001252043	rs12716973	0.471388	chr16	29937651	29985187	29999726
TMEM219	NM_194280	rs12716973	0.471388	chr16	29937651	29973350	29984373
ALDOA	NM_001127617	rs12716973	0.471388	chr16	29937651	30075817	30081741
C16orf92	NM_001353379	rs12716973	0.471388	chr16	29937651	30034654	30039057
PPP4C	NM_001303507	rs12716973	0.471388	chr16	29937651	30087296	30096698
DOC2A	NM_001282068	rs12716973	0.471388	chr16	29937651	30016834	30023669
DOC2A	NM_001282063	rs12716973	0.471388	chr16	29937651	30016834	30022742
DOC2A	NM_001282062	rs12716973	0.471388	chr16	29937651	30016834	30024917
LOC112694756	NM_001365304	rs12716973	0.471388	chr16	29937651	30064410	30081741
LOC112694756	NM_001365305	rs12716973	0.471388	chr16	29937651	30064410	30081741
LOC101928595	NR_135192	rs12716973	0.471388	chr16	29937651	30107750	30116777
ALDOA	NM_001243177	rs12716973	0.471388	chr16	29937651	30077080	30083537
FAM57B	NM_001352173	rs12716973	0.471388	chr16	29937651	30035743	30048014
DOC2A	NR_104089	rs12716973	0.471388	chr16	29937651	30016834	30022401
DOC2A	NM_003586	rs12716973	0.471388	chr16	29937651	30016834	30022401
PPP4C	NM_001303503	rs12716973	0.471388	chr16	29937651	30087296	30096698
PPP4C	NM_001303504	rs12716973	0.471388	chr16	29937651	30087296	30096698
FAM57B	NM_001318504	rs12716973	0.471388	chr16	29937651	30035743	30041405
TBX6	NM_004608	rs12716973	0.471388	chr16	29937651	30097114	30103205
YPEL3	NM_031477	rs12716973	0.471388	chr16	29937651	30103634	30107521
LOC112694756	NM_001365307	rs12716973	0.471388	chr16	29937651	30064410	30081741
DOC2A	NR_104090	rs12716973	0.471388	chr16	29937651	30016834	30022401
GDPD3	NM_024307	rs12716973	0.471388	chr16	29937651	30116130	30124878
YPEL3	NM_001145524	rs12716973	0.471388	chr16	29937651	30103636	30107537
PPP4C	NM_002720	rs12716973	0.471388	chr16	29937651	30087296	30096698
MAPK3	NM_001040056	rs12716973	0.471388	chr16	29937651	30128157	30134630
PPP4C	NM_001303506	rs12716973	0.471388	chr16	29937651	30087296	30096698
MAPK3	NM_002746	rs12716973	0.471388	chr16	29937651	30125425	30134541
FAM57B	NM_031478	rs12716973	0.471388	chr16	29937651	30035743	30042186
MAPK3	NM_001109891	rs12716973	0.471388	chr16	29937651	30125425	30134630
ALDOA	NM_184043	rs12716973	0.471388	chr16	29937651	30075599	30081741
C16orf92	NM_001109660	rs12716973	0.471388	chr16	29937651	30034654	30036023
C16orf92	NM_001109659	rs12716973	0.471388	chr16	29937651	30034654	30036023
ALDOA	NM_184041	rs12716973	0.471388	chr16	29937651	30077080	30083537
SETD3	NM_032233	rs12895055	0.285257	chr14	99712793	99864082	99947226
SETD3	NM_199123	rs12895055	0.285257	chr14	99712793	99876140	99947226
BCL11B	NM_022898	rs12895055	0.285257	chr14	99712793	99635624	99738050
BCL11B	NM_138576	rs12895055	0.285257	chr14	99712793	99635624	99738050
BCL11B	NM_001282238	rs12895055	0.285257	chr14	99712793	99635624	99738050
BCL11B	NM_001282237	rs12895055	0.285257	chr14	99712793	99635624	99738050
TBC1D5	NM_001349090	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349083	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349074	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349082	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_014744	rs17200916	0.497829	chr3	17844751	17198653	17782399
TBC1D5	NM_001349075	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349084	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349077	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349088	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349087	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349076	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349085	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349086	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349081	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349080	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349079	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349078	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349073	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001349089	rs17200916	0.497829	chr3	17844751	17198653	17784231
TBC1D5	NM_001134381	rs17200916	0.497829	chr3	17844751	17198653	17741512
TBC1D5	NM_001349091	rs17200916	0.497829	chr3	17844751	17198653	17784231
